fold,seed,acquisition_scanner_probe,acquisition_tissue_retrieval,acquisition_effective_rank,cross_covariance_rms
0,911,0.8472222222222221,0.24756944444444437,15.302779771497436,0.10785295814275742
0,912,0.8277777777777778,0.22499999999999995,14.436720697390934,0.10975569486618042
0,913,0.8333333333333334,0.22604166666666664,14.909587056890976,0.10883807390928268
0,914,0.8402777777777779,0.25034722222222217,15.553869114904494,0.1055116131901741
0,915,0.825,0.2270833333333333,14.670052659641012,0.10360300540924072
1,911,0.8497354497354497,0.16084656084656085,13.548838591409696,0.08305079489946365
1,912,0.8592592592592594,0.16111111111111112,13.427970316468551,0.08274316042661667
1,913,0.856084656084656,0.17116402116402116,13.91046334320754,0.08295805007219315
1,914,0.8465608465608465,0.1716931216931217,13.910589371268829,0.08253645896911621
1,915,0.8455026455026455,0.15925925925925927,13.023833746395166,0.08240886777639389
2,911,0.8565517241379311,0.1803448275862069,14.52477591405612,0.08382799476385117
2,912,0.8717241379310344,0.1889655172413793,14.172835409820843,0.08581890165805817
2,913,0.8537931034482759,0.19482758620689655,14.640038907828796,0.08536794781684875
2,914,0.8620689655172413,0.18206896551724136,14.525007935330432,0.08526303619146347
2,915,0.8606896551724139,0.18275862068965515,13.862932872499712,0.08377278596162796
3,911,0.8794871794871796,0.14743589743589744,12.539886092102453,0.09044331312179565
3,912,0.8935897435897436,0.1544871794871795,12.63835515266268,0.09016913175582886
3,913,0.8756410256410255,0.16762820512820514,12.812353130579426,0.09292952716350555
3,914,0.8884615384615385,0.15064102564102563,12.454777239229475,0.0913194939494133
3,915,0.8833333333333334,0.14038461538461539,11.883958284887228,0.09156554192304611
4,911,0.887719298245614,0.15964912280701754,13.466921452539315,0.08250975608825684
4,912,0.8994152046783626,0.1654970760233918,13.292413900480822,0.08348578214645386
4,913,0.8970760233918128,0.1637426900584795,13.300348671391806,0.085012286901474
4,914,0.8912280701754385,0.17105263157894737,13.578916901236742,0.08251062035560608
4,915,0.8959064327485379,0.16608187134502922,13.519033189775643,0.08251126855611801
